NBOpptyID,NBOpptyName,NBContactName
0069A00000IWEeWQAX,ACW300_NewBizOppty_830,PerfTest ACW300_Contact_830
0069A00000IWEcLQAX,ACW300_NewBizOppty_379,PerfTest ACW300_Contact_379
0069A00000IWEoXQAX,ACW300_NewBizOppty_515,PerfTest ACW300_Contact_515
0069A00000IWEmZQAX,ACW300_NewBizOppty_261,PerfTest ACW300_Contact_261
0069A00000IWEesQAH,ACW300_NewBizOppty_60,PerfTest ACW300_Contact_60
0069A00000IWEsZQAX,ACW300_NewBizOppty_784,PerfTest ACW300_Contact_784
0069A00000IWEwDQAX,ACW300_NewBizOppty_177,PerfTest ACW300_Contact_177
0069A00000IWEaXQAX,ACW300_NewBizOppty_8,PerfTest ACW300_Contact_8
0069A00000IWEaYQAX,ACW300_NewBizOppty_226,PerfTest ACW300_Contact_226
0069A00000IWEhfQAH,ACW300_NewBizOppty_40,PerfTest ACW300_Contact_40
0069A00000IWED9QAP,ACW300_NewBizOppty_537,PerfTest ACW300_Contact_537
0069A00000IWExRQAX,ACW300_NewBizOppty_440,PerfTest ACW300_Contact_440
0069A00000IWEvGQAX,ACW300_NewBizOppty_559,PerfTest ACW300_Contact_559
0069A00000IWEV4QAP,ACW300_NewBizOppty_438,PerfTest ACW300_Contact_438
0069A00000IWF01QAH,ACW300_NewBizOppty_633,PerfTest ACW300_Contact_633
0069A00000IWF19QAH,ACW300_NewBizOppty_885,PerfTest ACW300_Contact_885
0069A00000IWF4CQAX,ACW300_NewBizOppty_619,PerfTest ACW300_Contact_619
0069A00000IWF5PQAX,ACW300_NewBizOppty_924,PerfTest ACW300_Contact_924
0069A00000IWF63QAH,ACW300_NewBizOppty_488,PerfTest ACW300_Contact_488
0069A00000IWEqPQAX,ACW300_NewBizOppty_489,PerfTest ACW300_Contact_489
0069A00000IWF7fQAH,ACW300_NewBizOppty_967,PerfTest ACW300_Contact_967
0069A00000IWExSQAX,ACW300_NewBizOppty_29,PerfTest ACW300_Contact_29
0069A00000IWEmpQAH,ACW300_NewBizOppty_405,PerfTest ACW300_Contact_405
0069A00000IWFAeQAP,ACW300_NewBizOppty_580,PerfTest ACW300_Contact_580
0069A00000IWEnRQAX,ACW300_NewBizOppty_982,PerfTest ACW300_Contact_982
0069A00000IWF5pQAH,ACW300_NewBizOppty_26,PerfTest ACW300_Contact_26
0069A00000IWEEXQA5,ACW400_NewBizOppty_604,PerfTest ACW400_Contact_604
0069A00000IWFHgQAP,ACW400_NewBizOppty_165,PerfTest ACW400_Contact_165
0069A00000IWFJIQA5,ACW400_NewBizOppty_974,PerfTest ACW400_Contact_974
0069A00000IWFH7QAP,ACW400_NewBizOppty_240,PerfTest ACW400_Contact_240
0069A00000IWD9PQAX,ACW400_NewBizOppty_519,PerfTest ACW400_Contact_519
0069A00000IWF7HQAX,ACW400_NewBizOppty_248,PerfTest ACW400_Contact_248
0069A00000IWFKZQA5,ACW400_NewBizOppty_536,PerfTest ACW400_Contact_536
0069A00000IWBqgQAH,ACW400_NewBizOppty_466,PerfTest ACW400_Contact_466
0069A00000IWFKVQA5,ACW400_NewBizOppty_730,PerfTest ACW400_Contact_730
0069A00000IWF7gQAH,ACW400_NewBizOppty_709,PerfTest ACW400_Contact_709
0069A00000IWEQ5QAP,ACW400_NewBizOppty_495,PerfTest ACW400_Contact_495
0069A00000IWFKjQAP,ACW400_NewBizOppty_445,PerfTest ACW400_Contact_445
0069A00000IWFKeQAP,ACW400_NewBizOppty_969,PerfTest ACW400_Contact_969
0069A00000IWDlkQAH,ACW400_NewBizOppty_840,PerfTest ACW400_Contact_840
0069A00000IWEEPQA5,ACW400_NewBizOppty_845,PerfTest ACW400_Contact_845
0069A00000IWDxUQAX,ACW400_NewBizOppty_971,PerfTest ACW400_Contact_971
0069A00000IWFKtQAP,ACW400_NewBizOppty_634,PerfTest ACW400_Contact_634
0069A00000IWF3tQAH,ACW400_NewBizOppty_965,PerfTest ACW400_Contact_965
0069A00000IWFL8QAP,ACW400_NewBizOppty_320,PerfTest ACW400_Contact_320
0069A00000IWE4wQAH,ACW400_NewBizOppty_416,PerfTest ACW400_Contact_416
0069A00000IWFLXQA5,ACW400_NewBizOppty_465,PerfTest ACW400_Contact_465
0069A00000IWE77QAH,ACW400_NewBizOppty_428,PerfTest ACW400_Contact_428
0069A00000IWFIoQAP,ACW400_NewBizOppty_530,PerfTest ACW400_Contact_530
0069A00000IWFE9QAP,ACW400_NewBizOppty_933,PerfTest ACW400_Contact_933
0069A00000IWFLNQA5,ACW400_NewBizOppty_968,PerfTest ACW400_Contact_968
0069A00000IWFIFQA5,ACW400_NewBizOppty_62,PerfTest ACW400_Contact_62
0069A00000IWDHrQAP,ACW400_NewBizOppty_966,PerfTest ACW400_Contact_966
0069A00000IWFLIQA5,ACW400_NewBizOppty_553,PerfTest ACW400_Contact_553
0069A00000IWFKoQAP,ACW400_NewBizOppty_566,PerfTest ACW400_Contact_566
0069A00000IWF8CQAX,ACW400_NewBizOppty_716,PerfTest ACW400_Contact_716
